raw,lowerCase,noPunctuation,tokenize,removedStopWords,lematizedWords
"Ladies and gentlemen, prepare to be mesmerized by the dance artistry of Isabella Rodriguez! Her moves are poetry in motion, and tonight, she graces our stage with a performance that promises to be nothing short of extraordinary. Let's welcome Isabella Rodriguez to the spotlight!
","ladies and gentlemen, prepare to be mesmerized by the dance artistry of isabella rodriguez! her moves are poetry in motion, and tonight, she graces our stage with a performance that promises to be nothing short of extraordinary. let's welcome isabella rodriguez to the spotlight!
","ladies and gentlemen prepare to be mesmerized by the dance artistry of isabella rodriguez her moves are poetry in motion and tonight she graces our stage with a performance that promises to be nothing short of extraordinary lets welcome isabella rodriguez to the spotlight
","['ladies', 'and', 'gentlemen', 'prepare', 'to', 'be', 'mesmerized', 'by', 'the', 'dance', 'artistry', 'of', 'isabella', 'rodriguez', 'her', 'moves', 'are', 'poetry', 'in', 'motion', 'and', 'tonight', 'she', 'graces', 'our', 'stage', 'with', 'a', 'performance', 'that', 'promises', 'to', 'be', 'nothing', 'short', 'of', 'extraordinary', 'lets', 'welcome', 'isabella', 'rodriguez', 'to', 'the', 'spotlight\n']","['ladies', 'gentlemen', 'prepare', 'mesmerized', 'dance', 'artistry', 'isabella', 'rodriguez', 'moves', 'poetry', 'motion', 'tonight', 'graces', 'stage', 'performance', 'promises', 'nothing', 'short', 'extraordinary', 'lets', 'welcome', 'isabella', 'rodriguez', 'spotlight\n']","['lady', 'gentleman', 'prepare', 'mesmerized', 'dance', 'artistry', 'isabella', 'rodriguez', 'move', 'poetry', 'motion', 'tonight', 'grace', 'stage', 'performance', 'promise', 'nothing', 'short', 'extraordinary', 'let', 'welcome', 'isabella', 'rodriguez', 'spotlight\n']"
"Hold your applause for the spellbinding duo, Aiden and Lily! Their synchronized dance routines and seamless connection are set to transport us into a world of rhythmic harmony. Brace yourselves for a mesmerizing performance by Aiden and Lily!
","hold your applause for the spellbinding duo, aiden and lily! their synchronized dance routines and seamless connection are set to transport us into a world of rhythmic harmony. brace yourselves for a mesmerizing performance by aiden and lily!
","hold your applause for the spellbinding duo aiden and lily their synchronized dance routines and seamless connection are set to transport us into a world of rhythmic harmony brace yourselves for a mesmerizing performance by aiden and lily
","['hold', 'your', 'applause', 'for', 'the', 'spellbinding', 'duo', 'aiden', 'and', 'lily', 'their', 'synchronized', 'dance', 'routines', 'and', 'seamless', 'connection', 'are', 'set', 'to', 'transport', 'us', 'into', 'a', 'world', 'of', 'rhythmic', 'harmony', 'brace', 'yourselves', 'for', 'a', 'mesmerizing', 'performance', 'by', 'aiden', 'and', 'lily\n']","['hold', 'applause', 'spellbinding', 'duo', 'aiden', 'lily', 'synchronized', 'dance', 'routines', 'seamless', 'connection', 'set', 'transport', 'us', 'world', 'rhythmic', 'harmony', 'brace', 'mesmerizing', 'performance', 'aiden', 'lily\n']","['hold', 'applause', 'spellbinding', 'duo', 'aiden', 'lily', 'synchronized', 'dance', 'routine', 'seamless', 'connection', 'set', 'transport', 'u', 'world', 'rhythmic', 'harmony', 'brace', 'mesmerizing', 'performance', 'aiden', 'lily\n']"
"In the spotlight tonight is the dynamic performer, Elijah Turner! With a fusion of contemporary and street dance, Elijah is about to break all the rules and redefine the dance narrative. Get ready for a performance that pushes the boundaries with Elijah Turner!
","in the spotlight tonight is the dynamic performer, elijah turner! with a fusion of contemporary and street dance, elijah is about to break all the rules and redefine the dance narrative. get ready for a performance that pushes the boundaries with elijah turner!
","in the spotlight tonight is the dynamic performer elijah turner with a fusion of contemporary and street dance elijah is about to break all the rules and redefine the dance narrative get ready for a performance that pushes the boundaries with elijah turner
","['in', 'the', 'spotlight', 'tonight', 'is', 'the', 'dynamic', 'performer', 'elijah', 'turner', 'with', 'a', 'fusion', 'of', 'contemporary', 'and', 'street', 'dance', 'elijah', 'is', 'about', 'to', 'break', 'all', 'the', 'rules', 'and', 'redefine', 'the', 'dance', 'narrative', 'get', 'ready', 'for', 'a', 'performance', 'that', 'pushes', 'the', 'boundaries', 'with', 'elijah', 'turner\n']","['spotlight', 'tonight', 'dynamic', 'performer', 'elijah', 'turner', 'fusion', 'contemporary', 'street', 'dance', 'elijah', 'break', 'rules', 'redefine', 'dance', 'narrative', 'get', 'ready', 'performance', 'pushes', 'boundaries', 'elijah', 'turner\n']","['spotlight', 'tonight', 'dynamic', 'performer', 'elijah', 'turner', 'fusion', 'contemporary', 'street', 'dance', 'elijah', 'break', 'rule', 'redefine', 'dance', 'narrative', 'get', 'ready', 'performance', 'push', 'boundary', 'elijah', 'turner\n']"
"Make way for the sensational Maya Patel! Her dance style is a symphony of elegance and strength, creating a visual masterpiece with every movement. Let's give a warm welcome to the enchanting Maya Patel as she graces our stage!
","make way for the sensational maya patel! her dance style is a symphony of elegance and strength, creating a visual masterpiece with every movement. let's give a warm welcome to the enchanting maya patel as she graces our stage!
","make way for the sensational maya patel her dance style is a symphony of elegance and strength creating a visual masterpiece with every movement lets give a warm welcome to the enchanting maya patel as she graces our stage
","['make', 'way', 'for', 'the', 'sensational', 'maya', 'patel', 'her', 'dance', 'style', 'is', 'a', 'symphony', 'of', 'elegance', 'and', 'strength', 'creating', 'a', 'visual', 'masterpiece', 'with', 'every', 'movement', 'lets', 'give', 'a', 'warm', 'welcome', 'to', 'the', 'enchanting', 'maya', 'patel', 'as', 'she', 'graces', 'our', 'stage\n']","['make', 'way', 'sensational', 'maya', 'patel', 'dance', 'style', 'symphony', 'elegance', 'strength', 'creating', 'visual', 'masterpiece', 'every', 'movement', 'lets', 'give', 'warm', 'welcome', 'enchanting', 'maya', 'patel', 'graces', 'stage\n']","['make', 'way', 'sensational', 'maya', 'patel', 'dance', 'style', 'symphony', 'elegance', 'strength', 'creating', 'visual', 'masterpiece', 'every', 'movement', 'let', 'give', 'warm', 'welcome', 'enchanting', 'maya', 'patel', 'grace', 'stage\n']"
"Hold onto your seats as we welcome the charismatic duo, Noah and Sophia! Their chemistry is electric, and their dance routines are a celebration of passion and precision. Get ready to be captivated by the magic of Noah and Sophia!
","hold onto your seats as we welcome the charismatic duo, noah and sophia! their chemistry is electric, and their dance routines are a celebration of passion and precision. get ready to be captivated by the magic of noah and sophia!
","hold onto your seats as we welcome the charismatic duo noah and sophia their chemistry is electric and their dance routines are a celebration of passion and precision get ready to be captivated by the magic of noah and sophia
","['hold', 'onto', 'your', 'seats', 'as', 'we', 'welcome', 'the', 'charismatic', 'duo', 'noah', 'and', 'sophia', 'their', 'chemistry', 'is', 'electric', 'and', 'their', 'dance', 'routines', 'are', 'a', 'celebration', 'of', 'passion', 'and', 'precision', 'get', 'ready', 'to', 'be', 'captivated', 'by', 'the', 'magic', 'of', 'noah', 'and', 'sophia\n']","['hold', 'onto', 'seats', 'welcome', 'charismatic', 'duo', 'noah', 'sophia', 'chemistry', 'electric', 'dance', 'routines', 'celebration', 'passion', 'precision', 'get', 'ready', 'captivated', 'magic', 'noah', 'sophia\n']","['hold', 'onto', 'seat', 'welcome', 'charismatic', 'duo', 'noah', 'sophia', 'chemistry', 'electric', 'dance', 'routine', 'celebration', 'passion', 'precision', 'get', 'ready', 'captivated', 'magic', 'noah', 'sophia\n']"
"Brace yourselves for the gravity-defying performance of Lucas Reynolds! Known for his acrobatic prowess and fluidity of movement, Lucas is about to take us on a journey through dance like never before. Let's give it up for the extraordinary Lucas Reynolds!
","brace yourselves for the gravity-defying performance of lucas reynolds! known for his acrobatic prowess and fluidity of movement, lucas is about to take us on a journey through dance like never before. let's give it up for the extraordinary lucas reynolds!
","brace yourselves for the gravitydefying performance of lucas reynolds known for his acrobatic prowess and fluidity of movement lucas is about to take us on a journey through dance like never before lets give it up for the extraordinary lucas reynolds
","['brace', 'yourselves', 'for', 'the', 'gravitydefying', 'performance', 'of', 'lucas', 'reynolds', 'known', 'for', 'his', 'acrobatic', 'prowess', 'and', 'fluidity', 'of', 'movement', 'lucas', 'is', 'about', 'to', 'take', 'us', 'on', 'a', 'journey', 'through', 'dance', 'like', 'never', 'before', 'lets', 'give', 'it', 'up', 'for', 'the', 'extraordinary', 'lucas', 'reynolds\n']","['brace', 'gravitydefying', 'performance', 'lucas', 'reynolds', 'known', 'acrobatic', 'prowess', 'fluidity', 'movement', 'lucas', 'take', 'us', 'journey', 'dance', 'like', 'never', 'lets', 'give', 'extraordinary', 'lucas', 'reynolds\n']","['brace', 'gravitydefying', 'performance', 'lucas', 'reynolds', 'known', 'acrobatic', 'prowess', 'fluidity', 'movement', 'lucas', 'take', 'u', 'journey', 'dance', 'like', 'never', 'let', 'give', 'extraordinary', 'lucas', 'reynolds\n']"
"Step into the spotlight, where the enchanting Ella Mitchell awaits! Her dance is a canvas, and each step paints a picture of grace and emotion. Get ready to be moved by the artistry of Ella Mitchell as she graces our stage!
","step into the spotlight, where the enchanting ella mitchell awaits! her dance is a canvas, and each step paints a picture of grace and emotion. get ready to be moved by the artistry of ella mitchell as she graces our stage!
","step into the spotlight where the enchanting ella mitchell awaits her dance is a canvas and each step paints a picture of grace and emotion get ready to be moved by the artistry of ella mitchell as she graces our stage
","['step', 'into', 'the', 'spotlight', 'where', 'the', 'enchanting', 'ella', 'mitchell', 'awaits', 'her', 'dance', 'is', 'a', 'canvas', 'and', 'each', 'step', 'paints', 'a', 'picture', 'of', 'grace', 'and', 'emotion', 'get', 'ready', 'to', 'be', 'moved', 'by', 'the', 'artistry', 'of', 'ella', 'mitchell', 'as', 'she', 'graces', 'our', 'stage\n']","['step', 'spotlight', 'enchanting', 'ella', 'mitchell', 'awaits', 'dance', 'canvas', 'step', 'paints', 'picture', 'grace', 'emotion', 'get', 'ready', 'moved', 'artistry', 'ella', 'mitchell', 'graces', 'stage\n']","['step', 'spotlight', 'enchanting', 'ella', 'mitchell', 'awaits', 'dance', 'canvas', 'step', 'paint', 'picture', 'grace', 'emotion', 'get', 'ready', 'moved', 'artistry', 'ella', 'mitchell', 'grace', 'stage\n']"
"Put your hands together for the dynamic duo, Liam and Zoe! Their energy is infectious, and their dance routines are a whirlwind of excitement. Get ready to be swept off your feet by the unstoppable duo, Liam and Zoe!
","put your hands together for the dynamic duo, liam and zoe! their energy is infectious, and their dance routines are a whirlwind of excitement. get ready to be swept off your feet by the unstoppable duo, liam and zoe!
","put your hands together for the dynamic duo liam and zoe their energy is infectious and their dance routines are a whirlwind of excitement get ready to be swept off your feet by the unstoppable duo liam and zoe
","['put', 'your', 'hands', 'together', 'for', 'the', 'dynamic', 'duo', 'liam', 'and', 'zoe', 'their', 'energy', 'is', 'infectious', 'and', 'their', 'dance', 'routines', 'are', 'a', 'whirlwind', 'of', 'excitement', 'get', 'ready', 'to', 'be', 'swept', 'off', 'your', 'feet', 'by', 'the', 'unstoppable', 'duo', 'liam', 'and', 'zoe\n']","['put', 'hands', 'together', 'dynamic', 'duo', 'liam', 'zoe', 'energy', 'infectious', 'dance', 'routines', 'whirlwind', 'excitement', 'get', 'ready', 'swept', 'feet', 'unstoppable', 'duo', 'liam', 'zoe\n']","['put', 'hand', 'together', 'dynamic', 'duo', 'liam', 'zoe', 'energy', 'infectious', 'dance', 'routine', 'whirlwind', 'excitement', 'get', 'ready', 'swept', 'foot', 'unstoppable', 'duo', 'liam', 'zoe\n']"
"Ladies and gentlemen, prepare for a dance extravaganza with the sensational performer, Ava Thompson! With a unique blend of classical and modern dance, Ava is here to leave an indelible mark on our hearts. Let's welcome Ava Thompson to the stage with a round of applause!
","ladies and gentlemen, prepare for a dance extravaganza with the sensational performer, ava thompson! with a unique blend of classical and modern dance, ava is here to leave an indelible mark on our hearts. let's welcome ava thompson to the stage with a round of applause!
","ladies and gentlemen prepare for a dance extravaganza with the sensational performer ava thompson with a unique blend of classical and modern dance ava is here to leave an indelible mark on our hearts lets welcome ava thompson to the stage with a round of applause
","['ladies', 'and', 'gentlemen', 'prepare', 'for', 'a', 'dance', 'extravaganza', 'with', 'the', 'sensational', 'performer', 'ava', 'thompson', 'with', 'a', 'unique', 'blend', 'of', 'classical', 'and', 'modern', 'dance', 'ava', 'is', 'here', 'to', 'leave', 'an', 'indelible', 'mark', 'on', 'our', 'hearts', 'lets', 'welcome', 'ava', 'thompson', 'to', 'the', 'stage', 'with', 'a', 'round', 'of', 'applause\n']","['ladies', 'gentlemen', 'prepare', 'dance', 'extravaganza', 'sensational', 'performer', 'ava', 'thompson', 'unique', 'blend', 'classical', 'modern', 'dance', 'ava', 'leave', 'indelible', 'mark', 'hearts', 'lets', 'welcome', 'ava', 'thompson', 'stage', 'round', 'applause\n']","['lady', 'gentleman', 'prepare', 'dance', 'extravaganza', 'sensational', 'performer', 'ava', 'thompson', 'unique', 'blend', 'classical', 'modern', 'dance', 'ava', 'leave', 'indelible', 'mark', 'heart', 'let', 'welcome', 'ava', 'thompson', 'stage', 'round', 'applause\n']"
"Get ready to be transported to a world of elegance with the breathtaking performance of Ethan Williams! His dance is a tapestry of sophistication and finesse, promising a spectacle that will linger in your memory. Let's welcome Ethan Williams to the spotlight!
","get ready to be transported to a world of elegance with the breathtaking performance of ethan williams! his dance is a tapestry of sophistication and finesse, promising a spectacle that will linger in your memory. let's welcome ethan williams to the spotlight!
","get ready to be transported to a world of elegance with the breathtaking performance of ethan williams his dance is a tapestry of sophistication and finesse promising a spectacle that will linger in your memory lets welcome ethan williams to the spotlight
","['get', 'ready', 'to', 'be', 'transported', 'to', 'a', 'world', 'of', 'elegance', 'with', 'the', 'breathtaking', 'performance', 'of', 'ethan', 'williams', 'his', 'dance', 'is', 'a', 'tapestry', 'of', 'sophistication', 'and', 'finesse', 'promising', 'a', 'spectacle', 'that', 'will', 'linger', 'in', 'your', 'memory', 'lets', 'welcome', 'ethan', 'williams', 'to', 'the', 'spotlight\n']","['get', 'ready', 'transported', 'world', 'elegance', 'breathtaking', 'performance', 'ethan', 'williams', 'dance', 'tapestry', 'sophistication', 'finesse', 'promising', 'spectacle', 'linger', 'memory', 'lets', 'welcome', 'ethan', 'williams', 'spotlight\n']","['get', 'ready', 'transported', 'world', 'elegance', 'breathtaking', 'performance', 'ethan', 'williams', 'dance', 'tapestry', 'sophistication', 'finesse', 'promising', 'spectacle', 'linger', 'memory', 'let', 'welcome', 'ethan', 'williams', 'spotlight\n']"
